,tweet_id,sentiment,content
0,1956967341,empty,Jose Meyers Jr. i know  i was listenin to bad habit earlier and i started freakin at his part =[
1,1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
2,1956967696,sadness,Funeral ceremony...gloomy friday...
3,1956967789,enthusiasm,wants to hang out with friends SOON!
4,1956968416,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
5,1956968477,worry,Re-pinging @ghostridah14: why didn't you go to prom? Scott Weber my bf didn't like my friends
6,1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
7,1956968636,worry,Hmmm. http://www.djhero.com/ is down
8,1956969035,sadness,Jeffery Johnson my love. I miss you
9,1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?
10,1956969456,neutral,cant fall asleep
11,1956969531,worry,Choked on her retainers
12,1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
13,1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
14,1956970860,surprise,Got the news
15,1956971077,sadness,The storm is here and the electricity is gone
16,1956971170,love,@annarosekerr agreed
17,1956971206,sadness,So sleepy again and it's not even that late. I fail once again.
18,1956971473,worry,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
19,1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
20,1956971981,worry,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
21,1956972097,fun,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
22,1956972116,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
23,1956972270,worry,I ate Something I don't know what it is... Why do I keep Telling things about food
24,1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
